SPEAKER_8-1|කියවලා බලලා අමතක නොකර ට්‍රයි කරන්න, පිරිමියෙකු කාන්තාවකගෙන් බලාපොරොත්තු වන නමුත්, කිසිදා ඇයට නොපවසන ඔබ දැනගත|kiyavalā balalā amataka nokara ṭrayi karanna, pirimiyeku kāntāvakagen balāporottu vana namut kisidā æyaṭa nopavasana oba dænagata
SPEAKER_8-2|මොකද අපිට එහෙම සබ් කරපුවාම ෆිල්ම් එකේ රසයක් නැතිව යනව.|mokada apiṭa ehema sab karapuvāma film ekē rasayak nætiva yanava.
SPEAKER_8-3|සබීත, ඉඳලා හිටලා පිපෙන නෙලුමත් රැකගන්න බැරි වෙන එක නම් දුකට කාරණයක්.|sabīta, iṉdalā hiṭalā pipena nelumat rækaganna bæri vena eka nam dukaṭa kāraṇayak.
SPEAKER_8-4|පිටිපස්සේ ඉඳගන ගිය එක්කෙනා මා දිහා දෙපාරක් හැරිලා බැලුවදෝ කියලා මට එදා හිතුනා.|piṭipassē iṉdagana giya ekkenā mā dihā depārak hærilā bæluvadō kiyalā maṭa edā hitunā.
SPEAKER_8-5|මුදල් හා ජනමාධ්‍ය අමාත්‍යංශයේ අතිරේක ලේකම්, තිලකා ජයසුන්දර මහත්මියගේ ප්‍රධානත්වයෙන් පැවති මෙම සාකච්ඡාව|mudal hā janamādhya amātyaṁśayē atirēka lēkam tilakā jayasundara mahatmiyagē pradhānatvayen pævati mema sākacchāva
SPEAKER_8-6|අවවාද ටිකක් කියල දැම්ම නම් කවුරුත් කියවන එකක් නෑ.|avavāda ṭikak kiyala dæmma nam kavurut kiyavana ekak nǣ.
SPEAKER_8-7|අභ්‍යන්තර වුවත්, බාහිර වුවත් උපාධියක් සම්පූර්ණ කිරීම පහසු කටයුත්තක් නොවෙයි.|abhyantara vuvat, bāhira vuvat upādhiyak sampūrṇa kirīma pahasu kaṭayuttak noveyi.
SPEAKER_8-8|එනම් රණවිරුවන්ට එරෙහිව විදෙස් විනිසුරුවරුන් ගෙන්වා නඩු ඇසිය යුතු බවට පසුගිය දා එක්සත් ජාතින්ගේ මානව හිමිකම්|enam raṇaviruvanṭa erehiva vides vinisuruvarun genvā naḍu æsiya yutu bavaṭa pasugiya dā eksat jātingē mānava himikam
SPEAKER_8-9|ඒ නිකම්ම නොව, ජාතික සමගිව සහ සංහිඳයාව සඳහා වන කාර්යාලයේ ප්‍රධානියා ලෙසටය.|ē nikamma nova jātika samagiva saha saṁhiṉdayāva saṉdahā vana kāryālayē pradhāniyā lesaṭaya.
SPEAKER_8-10|නූතන ග්‍රාම්‍ය ටෙලි නාට්‍ය කර්මාන්තය තුලින්, හා සුපර් ස්ටාර් වසංගතය තුලින්, විෂයය බද්ධ ප්‍රමාණික දැනුමක්|nūtana grāmya ṭeli nāṭya karmāntaya tulin hā supar sṭār vasaṁgataya tulin, vişayaya baddha pramāṇika dænumak
